CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,S.A.M.,APU,BST,C-A,FPV,FIC,INCA-FS,TCA,L.E.A.L,MAS-IPSP,MRP,MTS,PP,PAN-BOL,PDC,SUMA,UCS,UNICO,UN SOL PARA ORURO,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
4005822,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,31011,Esc Carmen Guzman de Mier (Temporal),1,220,0,0,30,1,2,0,0,0,0,62,0,8,11,9,3,0,4,7,24,161,27,11,199,161,199
4005832,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,31011,Esc Carmen Guzman de Mier (Temporal),2,220,0,0,32,7,6,0,0,0,0,63,0,4,14,3,3,0,8,5,35,180,14,7,201,180,201
4005842,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,31011,Esc Carmen Guzman de Mier (Temporal),3,220,0,0,29,3,2,0,0,0,0,76,0,2,20,1,4,0,2,1,26,166,26,6,198,166,198
4005852,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,31011,Esc Carmen Guzman de Mier (Temporal),4,175,0,0,20,5,3,0,0,0,0,48,0,4,19,4,4,0,6,4,25,142,8,5,155,142,155
4006322,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,148,U.E. El Carmen,1,220,0,0,21,9,2,0,0,0,0,73,0,3,9,2,4,0,3,7,31,164,22,15,201,164,201
4006332,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,148,U.E. El Carmen,2,220,0,0,16,6,4,0,0,0,0,89,0,0,17,2,5,0,0,6,22,167,19,7,193,167,193
4006352,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,148,U.E. El Carmen,4,220,0,0,24,3,2,0,0,0,0,84,0,0,11,7,4,0,0,4,26,165,19,16,200,165,200
4006482,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,149,(Cárcel) Centro Penitenciario La Merced,1,128,0,0,17,1,1,0,0,0,0,35,0,1,1,1,1,0,0,0,12,70,10,6,86,70,86
4007262,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,26490,U.E. Juan Lechin Oquendo 2,1,230,0,0,34,2,3,0,0,0,0,70,0,6,22,9,2,0,4,6,29,187,13,17,217,187,217
4008142,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,133,U. Esc. San Ignacio De Loyola,16,220,0,0,39,10,4,0,0,0,0,62,0,2,17,3,4,0,3,3,25,172,12,8,192,172,192
4008152,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,133,U. Esc. San Ignacio De Loyola,17,220,0,0,27,1,8,0,0,0,0,47,0,5,14,6,5,0,1,6,49,169,10,12,191,169,191
4008172,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,133,U. Esc. San Ignacio De Loyola,19,220,0,0,27,0,0,0,0,0,0,46,0,7,0,6,3,0,12,7,43,151,9,35,195,151,195
4008182,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,133,U. Esc. San Ignacio De Loyola,20,220,0,0,42,6,4,0,0,0,0,62,0,2,10,2,4,0,6,5,41,184,9,6,199,184,199
4008502,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,135,U. Esc. Oruro Otawa (Primaria),5,220,0,0,38,6,5,0,0,0,0,47,0,7,16,5,4,0,2,4,49,183,7,8,198,183,198
4008532,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,135,U. Esc. Oruro Otawa (Primaria),8,220,0,0,36,9,1,0,0,0,0,52,0,5,18,5,9,0,3,3,36,177,10,10,197,177,197
4008542,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,135,U. Esc. Oruro Otawa (Primaria),9,220,0,0,51,5,2,0,0,0,0,45,0,4,11,2,5,0,8,4,36,173,17,8,198,173,198
4008852,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,143,U. E. Movimiento Sin Techo,1,220,0,0,14,3,1,0,0,0,0,118,0,0,8,4,2,0,1,1,10,162,30,7,199,162,199
4008872,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,143,U. E. Movimiento Sin Techo,3,220,0,0,15,6,2,0,0,0,0,114,0,7,0,3,0,0,1,1,8,157,21,11,189,157,189
4008882,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,143,U. E. Movimiento Sin Techo,4,220,0,0,11,1,2,0,0,0,0,114,0,3,6,4,4,0,1,3,9,158,14,10,182,158,182
4008922,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,143,U. E. Movimiento Sin Techo,8,220,0,0,10,0,3,0,0,0,0,123,0,1,3,3,2,0,1,1,11,158,23,9,190,158,190
4008942,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,143,U. E. Movimiento Sin Techo,10,220,0,0,9,3,1,0,0,0,0,130,0,3,7,4,2,0,1,2,11,173,17,11,201,173,201
4008952,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,143,U. E. Movimiento Sin Techo,11,220,0,0,17,3,1,0,0,0,0,120,0,2,2,3,4,0,3,3,12,170,21,10,201,170,201
4008962,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,143,U. E. Movimiento Sin Techo,12,220,0,0,10,3,0,0,0,0,0,113,0,5,3,0,1,0,1,3,11,150,24,14,188,150,188
4008972,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,143,U. E. Movimiento Sin Techo,13,220,0,0,9,2,1,0,0,0,0,125,0,4,6,5,1,0,2,2,12,169,14,7,190,169,190
4008982,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,143,U. E. Movimiento Sin Techo,14,220,0,0,14,0,2,0,0,0,0,113,0,4,3,2,6,0,2,1,12,159,20,25,204,159,204
4009212,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,146,U. Esc. San Isidro,8,220,0,0,13,4,5,0,0,0,0,109,0,0,12,1,3,0,6,3,14,170,15,9,194,170,194
4009222,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,146,U. Esc. San Isidro,9,220,0,0,13,4,3,0,0,0,0,92,0,0,12,4,3,0,2,7,24,164,15,12,191,164,191
4009232,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,146,U. Esc. San Isidro,10,220,0,0,19,0,4,0,0,0,0,104,0,3,6,2,2,0,2,4,15,161,17,10,188,161,188
4009242,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,146,U. Esc. San Isidro,11,220,0,0,21,1,2,0,0,0,0,109,0,3,6,3,2,0,1,3,17,168,15,11,194,168,194
4009252,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,146,U. Esc. San Isidro,12,220,0,0,15,3,1,0,0,0,0,94,0,6,11,2,6,0,1,0,25,164,18,10,192,164,192
